Cod Material;Tombamento;SiglaLotacao;Lotação;Sigla de usuário com carga pessoal;Nome de usuário com carga pessoal;Descrição;Núm. série;Marca;Modelo;Autor;Editora;Edicao;Forn Razao Social;Forn Nome Fantasia;Orgao Ext. Entrada;Cód. estrutural;Tipo Entrada;NumDocumento;Valor de aquisição;Valor de reavaliação;Valor Atualizado;Classificação SIAFI;Descr Siafi;Situação;Observação;Data de aquisição;Data de reavaliação;Data de atualização;Dt Term Garantia;Dta Ult. Movimentacao;Dta Baixa;Tipo Termo;Num.Termo;Órgão Externo;Processo Adm.;Estado Conservação;Ano/mês da última atualização;Data estimada do término da licença
"35975";"1290000440";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"LICOES DE DIR. PENAL, PARTE GERAL C.H.FRAGOSO.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51627";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"37739";"1290000441";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"REPOSITORIO DE JURISPRUDENCIA DO CÓDIGO PENAL, VOL.3 E 4.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51628";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"37720";"1290000442";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"REPERTORIO DE JUR. C.P. VOL 9 E 10.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51629";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"33036";"1290000443";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"COMENTARIOS A LEI DE IMPRENSA, D.A.MIRANDA, 2 VOL.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51630";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"33064";"1290000444";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"COMENTARIOS AO CÓDIGO PENAL MILITAR-RAMAGEM BADARO, 2 VOLUMES";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51631";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"31563";"1290000445";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"A TECNICA DA APLICACAO DE PENA COD. DE 40A 69 S.A.FERREIRA.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51632";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"33322";"1290000446";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"CRIME CULPOSO, MAGALHAES NORONHA.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51633";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"33322";"1290000447";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"CRIME CULPOSO, MAGALHAES NORONHA.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51634";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"36823";"1290000448";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"O COD. PENAL E A JUR. D.A.V.RODRIGUES, 2 VOL.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51635";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"36854";"1290000449";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"O DIR. PENAL MILITAR NOS CASOS CONCRETOS, ROMEIRO NETO.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51636";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"34809";"1290000450";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"HOMICIDIO, EXCLUSAO DO CRIME E ISENCAO DA PENA, N. ITAGIBE, 2 TOMOS";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51637";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"34019";"1290000451";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"DOS CRIMES CONTRA A ADM. PUB. F.H.M. DE ALMEIDA.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51638";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"35938";"1290000452";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"LESOES CORPORAIS NO CRIME E NO CIVEL, C.J. ASSIS RIBEIRO.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51639";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"31825";"1290000453";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"ATENTADO AO PUDOR, F. J. VIVEIROS DE CASTRO";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51640";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"33831";"1290000454";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"DIR. PENAL, E. ALVARO DE BRITO.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51641";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"32716";"1290000455";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"CÓDIGO DE PROCESSO PENAL BRASILEIRO ANOTADO,EDUARDO ESPINOLA FO,9 VOLS";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51642";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"34926";"1290000456";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"INTERP. DAS LEIS PROC. EDUARDO J. CONTURE.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51643";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"34217";"1290000457";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"ESTUDI DE PROCEDURA PENALE, B. ALIMENA";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51644";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"34107";"1290000458";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"EL DELINQUENTE E LA JUSTICA, RUIZ FUNES";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51645";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"34104";"1290000459";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"EL CRIMILALISTA, ASSUA, VOL. 1, 3 E 4";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51646";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"33641";"1290000460";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"DELITO DO CONTAGIO VENEREO-ASSUA";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51647";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"33679";"1290000461";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"DERECHO PENAL, ASSUA.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51648";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"33681";"1290000462";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"DERECHO PENAL, F. CALON, 2 VOLUMES.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51649";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"39392";"1290000463";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"DERECHO CRIMINAL, CARRARA, VOL 1 e 2 - PARTE GERAL, VOL 1 - PARTE ESPECIAL";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51650";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"34789";"1290000464";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"HIST. E PRATICA DO HABEAS CORPUS, PONTES DE MIRANDA.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51651";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"35304";"1290000465";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"LA SENTENCIA INDETERMINADA, ASSUA.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51652";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"34939";"1290000466";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"IPM E OS HABEAS-CORPUS DO STF. J. NORONHA MARTINS, 3 VOL.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51653";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"33512";"1290000467";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"DA SUSPESAO CONDICIONAL DA PENA, J. SALES.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51654";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"31719";"1290000468";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"APOSTILA DE DIR. JUDIC. PENAL, VICENTE P. AZEVEDO.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51655";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
